timestamp,p1,p2,p3,p4
7434,13.377209,12.8728895,7.509186,6.4364448
7461,13.377209,12.8728895,7.509186,6.4364448
7465,13.377209,12.8728895,7.509186,6.4364448
7468,13.377209,12.8728895,7.509186,6.4364448
7471,13.377209,12.8728895,7.509186,6.4364448
7476,13.377209,12.8728895,7.509186,6.4364448
7483,13.377209,12.8728895,7.509186,6.4364448
7494,13.377209,12.8728895,7.509186,6.4364448
7508,13.377209,12.8728895,7.509186,6.4364448
7517,13.377209,12.8728895,7.509186,6.4364448
7531,13.377209,12.8728895,7.509186,6.4364448
7533,13.377209,12.8728895,7.509186,6.4364448
7541,13.377209,12.8728895,7.509186,6.4364448
7552,13.377209,12.8728895,7.509186,6.4364448
7566,13.377209,12.8728895,7.509186,6.4364448
7578,13.377209,12.8728895,7.509186,6.4364448
7588,13.377209,12.8728895,7.509186,6.4364448
7598,13.377209,12.8728895,7.509186,6.4364448
7599,13.377209,12.8728895,7.509186,6.4364448
7611,13.377209,12.8728895,7.509186,6.4364448
7623,13.377209,12.8728895,7.509186,6.4364448
7633,13.377209,12.8728895,7.509186,6.4364448
7646,13.377209,12.8728895,7.509186,6.4364448
7657,13.377209,12.8728895,7.509186,6.4364448
7669,13.377209,12.8728895,7.509186,6.4364448
7672,13.377209,12.8728895,7.509186,6.4364448
7681,13.377209,12.8728895,7.509186,6.4364448
7700,13.377209,12.8728895,7.509186,6.4364448
7702,13.377209,12.8728895,7.509186,6.4364448
7728,13.377209,12.8728895,7.509186,6.4364448
7734,13.377209,12.8728895,7.509186,6.4364448
7737,13.377209,12.8728895,7.509186,6.4364448
7828,13.377209,12.8728895,7.509186,6.4364448
7830,13.377209,12.8728895,7.509186,6.4364448
7835,13.377209,12.8728895,7.509186,6.4364448
7837,13.377209,12.8728895,7.509186,6.4364448
7842,13.377209,12.8728895,7.509186,6.4364448
7850,13.377209,12.8728895,7.509186,6.4364448
7855,13.377209,12.8728895,7.509186,6.4364448
7859,13.377209,12.8728895,7.509186,6.4364448
7865,13.377209,12.8728895,7.509186,6.4364448
7872,13.377209,12.8728895,7.509186,6.4364448
7877,13.377209,12.8728895,7.509186,6.4364448
7880,13.377209,12.8728895,7.509186,6.4364448
7883,13.377209,12.8728895,7.509186,6.4364448
7887,13.377209,12.8728895,7.509186,6.4364448
7911,13.377209,12.8728895,7.509186,6.4364448
7919,13.377209,12.8728895,7.509186,6.4364448
7921,13.377209,12.8728895,7.509186,6.4364448
7924,13.377209,12.8728895,7.509186,6.4364448
7936,13.377209,12.8728895,7.509186,6.4364448
7941,13.377209,12.8728895,7.509186,6.4364448
7943,13.377209,12.8728895,7.509186,6.4364448
7970,13.377209,12.8728895,7.509186,6.4364448
7972,13.377209,12.8728895,7.509186,6.4364448
7975,13.377209,12.8728895,7.509186,6.4364448
7995,13.377209,12.8728895,7.509186,6.4364448
8003,13.377209,12.8728895,7.509186,6.4364448
8008,13.377209,12.8728895,7.509186,6.4364448
