timestamp,p1,p2,p3,p4
4840,Infinity,Infinity,Infinity,Infinity
4858,Infinity,Infinity,Infinity,Infinity
4864,Infinity,Infinity,Infinity,Infinity
4866,Infinity,Infinity,Infinity,Infinity
4870,13.835024,10.816654,6.309715,5.408327
4879,13.835024,10.816654,6.309715,5.408327
4881,13.835024,10.816654,6.309715,5.408327
4892,13.835024,10.816654,6.309715,5.408327
4904,13.835024,10.816654,6.309715,5.408327
4926,13.835024,10.816654,6.309715,5.408327
4929,13.835024,10.816654,6.309715,5.408327
4932,13.835024,10.816654,6.309715,5.408327
4939,13.835024,10.816654,6.309715,5.408327
4950,13.835024,10.816654,6.309715,5.408327
4972,13.835024,10.816654,6.309715,5.408327
4975,13.835024,10.816654,6.309715,5.408327
4985,13.835024,10.816654,6.309715,5.408327
4996,13.835024,10.816654,6.309715,5.408327
5007,13.835024,10.816654,6.309715,5.408327
5008,13.835024,10.816654,6.309715,5.408327
5020,13.835024,10.816654,6.309715,5.408327
5031,13.835024,10.816654,6.309715,5.408327
5043,13.835024,10.816654,6.309715,5.408327
5055,13.835024,10.816654,6.309715,5.408327
5067,13.835024,10.816654,6.309715,5.408327
5073,13.835024,10.816654,6.309715,5.408327
5077,13.835024,10.816654,6.309715,5.408327
5089,13.835024,10.816654,6.309715,5.408327
5100,13.835024,10.816654,6.309715,5.408327
5113,13.835024,10.816654,6.309715,5.408327
5123,13.835024,10.816654,6.309715,5.408327
5136,13.835024,10.816654,6.309715,5.408327
5147,13.835024,10.816654,6.309715,5.408327
5149,13.835024,10.816654,6.309715,5.408327
5160,13.835024,10.816654,6.309715,5.408327
5184,13.835024,10.816654,6.309715,5.408327
5191,13.835024,10.816654,6.309715,5.408327
5193,13.835024,10.816654,6.309715,5.408327
5206,13.835024,10.816654,6.309715,5.408327
5217,13.835024,10.816654,6.309715,5.408327
5220,13.835024,10.816654,6.309715,5.408327
5229,13.835024,10.816654,6.309715,5.408327
5239,13.835024,10.816654,6.309715,5.408327
5253,13.835024,10.816654,6.309715,5.408327
5267,13.835024,10.816654,6.309715,5.408327
5273,13.835024,10.816654,6.309715,5.408327
5277,13.835024,10.816654,6.309715,5.408327
5336,13.835024,10.816654,6.309715,5.408327
5339,13.835024,10.816654,6.309715,5.408327
5358,13.835024,10.816654,6.309715,5.408327
5361,13.835024,10.816654,6.309715,5.408327
5363,13.835024,10.816654,6.309715,5.408327
5373,13.835024,10.816654,6.309715,5.408327
5392,13.835024,10.816654,6.309715,5.408327
5395,13.835024,10.816654,6.309715,5.408327
5403,13.835024,10.816654,6.309715,5.408327
5407,13.835024,10.816654,6.309715,5.408327
5412,13.835024,10.816654,6.309715,5.408327
5441,13.835024,10.816654,6.309715,5.408327
5445,13.835024,10.816654,6.309715,5.408327
5457,13.835024,10.816654,6.309715,5.408327
5461,13.835024,10.816654,6.309715,5.408327
5467,13.835024,10.816654,6.309715,5.408327
5478,13.835024,10.816654,6.309715,5.408327
5482,13.835024,10.816654,6.309715,5.408327
5491,13.835024,10.816654,6.309715,5.408327
5494,13.835024,10.816654,6.309715,5.408327
5499,13.835024,10.816654,6.309715,5.408327
5507,13.835024,10.816654,6.309715,5.408327
5537,13.835024,10.816654,6.309715,5.408327
5544,13.835024,10.816654,6.309715,5.408327
5545,13.835024,10.816654,6.309715,5.408327
5563,13.835024,10.816654,6.309715,5.408327
5576,13.835024,10.816654,6.309715,5.408327
5579,13.835024,10.816654,6.309715,5.408327
5583,13.835024,10.816654,6.309715,5.408327
5588,13.835024,10.816654,6.309715,5.408327
5596,13.835024,10.816654,6.309715,5.408327
5601,13.835024,10.816654,6.309715,5.408327
5612,13.835024,10.816654,6.309715,5.408327
5624,13.835024,10.816654,6.309715,5.408327
5637,13.835024,10.816654,6.309715,5.408327
5646,13.835024,10.816654,6.309715,5.408327
5659,13.835024,10.816654,6.309715,5.408327
5672,13.835024,10.816654,6.309715,5.408327
5681,13.835024,10.816654,6.309715,5.408327
5683,13.835024,10.816654,6.309715,5.408327
5692,13.835024,10.816654,6.309715,5.408327
5704,13.835024,10.816654,6.309715,5.408327
5717,13.835024,10.816654,6.309715,5.408327
5720,13.835024,10.816654,6.309715,5.408327
5727,13.835024,10.816654,6.309715,5.408327
5739,13.835024,10.816654,6.309715,5.408327
5751,13.835024,10.816654,6.309715,5.408327
5762,13.835024,10.816654,6.309715,5.408327
5776,13.835024,10.816654,6.309715,5.408327
5785,13.835024,10.816654,6.309715,5.408327
5799,13.835024,10.816654,6.309715,5.408327
5801,13.835024,10.816654,6.309715,5.408327
5809,13.835024,10.816654,6.309715,5.408327
5821,13.835024,10.816654,6.309715,5.408327
5832,13.835024,10.816654,6.309715,5.408327
5844,13.835024,10.816654,6.309715,5.408327
5857,13.835024,10.816654,6.309715,5.408327
5858,13.835024,10.816654,6.309715,5.408327
5867,13.835024,10.816654,6.309715,5.408327
5878,13.835024,10.816654,6.309715,5.408327
5891,13.835024,10.816654,6.309715,5.408327
5902,13.835024,10.816654,6.309715,5.408327
5914,13.835024,10.816654,6.309715,5.408327
5924,13.835024,10.816654,6.309715,5.408327
5938,13.835024,10.816654,6.309715,5.408327
5940,13.835024,10.816654,6.309715,5.408327
5947,13.835024,10.816654,6.309715,5.408327
5959,13.835024,10.816654,6.309715,5.408327
5972,13.835024,10.816654,6.309715,5.408327
5983,13.835024,10.816654,6.309715,5.408327
5996,13.835024,10.816654,6.309715,5.408327
6006,13.835024,10.816654,6.309715,5.408327
6007,13.835024,10.816654,6.309715,5.408327
6018,13.835024,10.816654,6.309715,5.408327
6030,13.835024,10.816654,6.309715,5.408327
6040,13.835024,10.816654,6.309715,5.408327
6055,13.835024,10.816654,6.309715,5.408327
6066,13.835024,10.816654,6.309715,5.408327
6077,13.835024,10.816654,6.309715,5.408327
6078,13.835024,10.816654,6.309715,5.408327
6089,13.835024,10.816654,6.309715,5.408327
6100,13.835024,10.816654,6.309715,5.408327
6111,13.835024,10.816654,6.309715,5.408327
6122,13.835024,10.816654,6.309715,5.408327
6134,13.835024,10.816654,6.309715,5.408327
6145,13.835024,10.816654,6.309715,5.408327
6164,13.835024,10.816654,6.309715,5.408327
6173,13.835024,10.816654,6.309715,5.408327
6178,13.835024,10.816654,6.309715,5.408327
6185,13.835024,10.816654,6.309715,5.408327
6193,13.835024,10.816654,6.309715,5.408327
6204,13.835024,10.816654,6.309715,5.408327
6217,13.835024,10.816654,6.309715,5.408327
6218,13.835024,10.816654,6.309715,5.408327
6227,13.835024,10.816654,6.309715,5.408327
6238,13.835024,10.816654,6.309715,5.408327
6251,13.835024,10.816654,6.309715,5.408327
6261,13.835024,10.816654,6.309715,5.408327
6274,13.835024,10.816654,6.309715,5.408327
6285,13.835024,10.816654,6.309715,5.408327
6298,13.835024,10.816654,6.309715,5.408327
6301,13.835024,10.816654,6.309715,5.408327
6308,13.835024,10.816654,6.309715,5.408327
6334,13.835024,10.816654,6.309715,5.408327
6337,13.835024,10.816654,6.309715,5.408327
6342,13.835024,10.816654,6.309715,5.408327
6355,13.835024,10.816654,6.309715,5.408327
6368,13.835024,10.816654,6.309715,5.408327
6371,13.835024,10.816654,6.309715,5.408327
6378,13.835024,10.816654,6.309715,5.408327
6390,13.835024,10.816654,6.309715,5.408327
6401,13.835024,10.816654,6.309715,5.408327
6417,13.835024,10.816654,6.309715,5.408327
6419,13.835024,10.816654,6.309715,5.408327
6450,13.835024,10.816654,6.309715,5.408327
6452,13.835024,10.816654,6.309715,5.408327
6455,13.835024,10.816654,6.309715,5.408327
6458,13.835024,10.816654,6.309715,5.408327
6472,13.835024,10.816654,6.309715,5.408327
6482,13.835024,10.816654,6.309715,5.408327
6494,13.835024,10.816654,6.309715,5.408327
6506,13.835024,10.816654,6.309715,5.408327
6508,13.835024,10.816654,6.309715,5.408327
6517,13.835024,10.816654,6.309715,5.408327
6532,13.835024,10.816654,6.309715,5.408327
6540,13.835024,10.816654,6.309715,5.408327
6555,13.835024,10.816654,6.309715,5.408327
6566,13.835024,10.816654,6.309715,5.408327
6575,13.835024,10.816654,6.309715,5.408327
6588,13.835024,10.816654,6.309715,5.408327
6589,13.835024,10.816654,6.309715,5.408327
6598,13.835024,10.816654,6.309715,5.408327
6612,13.835024,10.816654,6.309715,5.408327
6621,13.835024,10.816654,6.309715,5.408327
6634,13.835024,10.816654,6.309715,5.408327
6644,13.835024,10.816654,6.309715,5.408327
6657,13.835024,10.816654,6.309715,5.408327
6658,13.835024,10.816654,6.309715,5.408327
6667,13.835024,10.816654,6.309715,5.408327
6681,13.835024,10.816654,6.309715,5.408327
6691,13.835024,10.816654,6.309715,5.408327
6703,13.835024,10.816654,6.309715,5.408327
6717,13.835024,10.816654,6.309715,5.408327
6721,13.835024,10.816654,6.309715,5.408327
6726,13.835024,10.816654,6.309715,5.408327
6739,13.835024,10.816654,6.309715,5.408327
6750,13.835024,10.816654,6.309715,5.408327
6774,13.835024,10.816654,6.309715,5.408327
6778,13.835024,10.816654,6.309715,5.408327
6787,13.835024,10.816654,6.309715,5.408327
6789,13.835024,10.816654,6.309715,5.408327
6800,13.835024,10.816654,6.309715,5.408327
6807,13.835024,10.816654,6.309715,5.408327
6820,13.835024,10.816654,6.309715,5.408327
6832,13.835024,10.816654,6.309715,5.408327
6842,13.835024,10.816654,6.309715,5.408327
6854,13.835024,10.816654,6.309715,5.408327
6866,13.835024,10.816654,6.309715,5.408327
6877,13.835024,10.816654,6.309715,5.408327
6878,13.835024,10.816654,6.309715,5.408327
6888,13.835024,10.816654,6.309715,5.408327
6900,13.835024,10.816654,6.309715,5.408327
6913,13.835024,10.816654,6.309715,5.408327
6923,13.835024,10.816654,6.309715,5.408327
6937,13.835024,10.816654,6.309715,5.408327
6941,13.835024,10.816654,6.309715,5.408327
6951,13.835024,10.816654,6.309715,5.408327
6958,13.835024,10.816654,6.309715,5.408327
6973,13.835024,10.816654,6.309715,5.408327
6982,13.835024,10.816654,6.309715,5.408327
6993,13.835024,10.816654,6.309715,5.408327
7004,13.835024,10.816654,6.309715,5.408327
7019,13.835024,10.816654,6.309715,5.408327
7020,13.835024,10.816654,6.309715,5.408327
7056,13.835024,10.816654,6.309715,5.408327
7075,13.835024,10.816654,6.309715,5.408327
7077,13.835024,10.816654,6.309715,5.408327
7082,13.835024,10.816654,6.309715,5.408327
7086,13.835024,10.816654,6.309715,5.408327
7091,13.835024,10.816654,6.309715,5.408327
7093,13.835024,10.816654,6.309715,5.408327
7125,13.835024,10.816654,6.309715,5.408327
7127,13.835024,10.816654,6.309715,5.408327
7131,13.835024,10.816654,6.309715,5.408327
7139,13.835024,10.816654,6.309715,5.408327
7140,13.835024,10.816654,6.309715,5.408327
7169,13.835024,10.816654,6.309715,5.408327
7172,13.835024,10.816654,6.309715,5.408327
7174,13.835024,10.816654,6.309715,5.408327
7182,13.835024,10.816654,6.309715,5.408327
7190,13.835024,10.816654,6.309715,5.408327
7202,13.835024,10.816654,6.309715,5.408327
7214,13.835024,10.816654,6.309715,5.408327
7226,13.835024,10.816654,6.309715,5.408327
7237,13.835024,10.816654,6.309715,5.408327
7239,13.835024,10.816654,6.309715,5.408327
7250,13.835024,10.816654,6.309715,5.408327
7260,13.835024,10.816654,6.309715,5.408327
7272,13.835024,10.816654,6.309715,5.408327
7283,13.835024,10.816654,6.309715,5.408327
7296,13.835024,10.816654,6.309715,5.408327
7307,13.835024,10.816654,6.309715,5.408327
7308,13.835024,10.816654,6.309715,5.408327
7318,13.835024,10.816654,6.309715,5.408327
7331,13.835024,10.816654,6.309715,5.408327
7341,13.835024,10.816654,6.309715,5.408327
7353,13.835024,10.816654,6.309715,5.408327
7364,13.835024,10.816654,6.309715,5.408327
7376,13.835024,10.816654,6.309715,5.408327
7378,13.835024,10.816654,6.309715,5.408327
7388,13.835024,10.816654,6.309715,5.408327
7399,13.835024,10.816654,6.309715,5.408327
7412,13.835024,10.816654,6.309715,5.408327
7422,13.835024,10.816654,6.309715,5.408327
7435,13.835024,10.816654,6.309715,5.408327
7446,13.835024,10.816654,6.309715,5.408327
7457,13.835024,10.816654,6.309715,5.408327
7458,13.835024,10.816654,6.309715,5.408327
7470,13.835024,10.816654,6.309715,5.408327
7481,13.835024,10.816654,6.309715,5.408327
7492,13.835024,10.816654,6.309715,5.408327
7505,13.835024,10.816654,6.309715,5.408327
7515,13.835024,10.816654,6.309715,5.408327
7528,13.835024,10.816654,6.309715,5.408327
7531,13.835024,10.816654,6.309715,5.408327
7539,13.835024,10.816654,6.309715,5.408327
7551,13.835024,10.816654,6.309715,5.408327
7563,13.835024,10.816654,6.309715,5.408327
7573,13.835024,10.816654,6.309715,5.408327
7585,13.835024,10.816654,6.309715,5.408327
7597,13.835024,10.816654,6.309715,5.408327
7597,13.835024,10.816654,6.309715,5.408327
7609,13.835024,10.816654,6.309715,5.408327
7620,13.835024,10.816654,6.309715,5.408327
7632,13.835024,10.816654,6.309715,5.408327
7643,13.835024,10.816654,6.309715,5.408327
7655,13.835024,10.816654,6.309715,5.408327
7667,13.835024,10.816654,6.309715,5.408327
7670,13.835024,10.816654,6.309715,5.408327
