timestamp,p1,p2,p3,p4
5131,13.389785,12.457545,7.3534317,6.3326087
5162,13.403963,12.405627,7.3015137,6.2806907
5167,13.42009,12.353709,7.2495956,6.2287726
5170,13.437015,12.301791,7.1976776,6.1768546
5186,13.454393,12.249873,7.1457596,6.1249366
5193,13.471772,12.249873,7.1457596,6.1249366
5198,13.488151,12.249873,7.1457596,6.1249366
5200,13.502847,12.249873,7.1457596,6.1249366
5217,13.502847,12.249873,7.1457596,6.1249366
5221,13.502847,12.249873,7.1457596,6.1249366
5225,13.502847,12.249873,7.1457596,6.1249366
5242,13.502847,12.249873,7.1457596,6.1249366
5243,13.502847,12.249873,7.1457596,6.1249366
5249,13.502847,12.249873,7.1457596,6.1249366
5254,13.502847,12.249873,7.1457596,6.1249366
5270,13.502847,12.249873,7.1457596,6.1249366
5282,13.502847,12.249873,7.1457596,6.1249366
5284,13.502847,12.249873,7.1457596,6.1249366
5289,13.502847,12.249873,7.1457596,6.1249366
5299,13.502847,12.249873,7.1457596,6.1249366
5312,13.502847,12.249873,7.1457596,6.1249366
5323,13.502847,12.249873,7.1457596,6.1249366
5337,13.502847,12.249873,7.1457596,6.1249366
5347,13.502847,12.249873,7.1457596,6.1249366
5359,13.502847,12.249873,7.1457596,6.1249366
5360,13.502847,12.249873,7.1457596,6.1249366
5370,13.502847,12.249873,7.1457596,6.1249366
5381,13.502847,12.249873,7.1457596,6.1249366
5393,13.502847,12.249873,7.1457596,6.1249366
5404,13.502847,12.249873,7.1457596,6.1249366
5416,13.502847,12.249873,7.1457596,6.1249366
5432,13.502847,12.249873,7.1457596,6.1249366
5439,13.502847,12.249873,7.1457596,6.1249366
5464,13.502847,12.249873,7.1457596,6.1249366
5468,13.502847,12.249873,7.1457596,6.1249366
5472,13.502847,12.249873,7.1457596,6.1249366
5487,13.502847,12.249873,7.1457596,6.1249366
5494,13.502847,12.249873,7.1457596,6.1249366
5498,13.502847,12.249873,7.1457596,6.1249366
5501,13.502847,12.249873,7.1457596,6.1249366
5509,13.502847,12.249873,7.1457596,6.1249366
5520,13.502847,12.249873,7.1457596,6.1249366
5533,13.502847,12.249873,7.1457596,6.1249366
5548,13.502847,12.249873,7.1457596,6.1249366
5557,13.502847,12.249873,7.1457596,6.1249366
5566,13.502847,12.249873,7.1457596,6.1249366
5583,13.502847,12.249873,7.1457596,6.1249366
5585,13.502847,12.249873,7.1457596,6.1249366
5626,13.502847,12.249873,7.1457596,6.1249366
5634,13.502847,12.249873,7.1457596,6.1249366
5649,13.502847,12.249873,7.1457596,6.1249366
5655,13.502847,12.249873,7.1457596,6.1249366
5724,13.502847,12.249873,7.1457596,6.1249366
5762,13.502847,12.249873,7.1457596,6.1249366
